g,eta,CV,Synchrony,State
5.333333333333333,2.8571428571428568,0.4680690789413465,461.53192215339334,SR
5.333333333333333,3.4285714285714284,0.4935192814562745,482.1260016109786,SR
5.333333333333333,4.0,0.5229870960290608,588.6444910949789,SR
5.866666666666666,0.0,0.0,0.0,AR
5.866666666666666,0.5714285714285714,0.0,0.0,AR
5.866666666666666,1.1428571428571428,0.4115735933681805,186.1830385351041,SR
5.866666666666666,1.7142857142857142,0.4987173549105628,195.79587278267982,SR
5.866666666666666,2.2857142857142856,0.5296983289319207,230.7044293480071,SR
5.866666666666666,2.8571428571428568,0.5327650811231611,332.4843122195235,SR
5.866666666666666,3.4285714285714284,0.5727523327812521,430.4124994196007,SR
5.866666666666666,4.0,0.6753829044583249,701.6092612891206,SR
6.4,0.0,0.0,0.0,AR
6.4,0.5714285714285714,0.0,0.0,AR
